ID;Guideword;Hazard;detailed_scenario;Hazardous event;severity;Severity rationale
62;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Ego vehicle is driving in a multi-lane one-way street with adjacent parking lanes and dotted line markings, a bicycle suddenly appears from the parking lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the bicycle""";S2;The severity of this hazardous event is predicted as S2, as it involves a potential collision with a bicycle, which could result in severe and life-threatening injuries to the cyclist. The impact speed, which is a crucial factor in determining severity, could be high depending on the scenario and the maximum allowed speed of the vehicles. The CAEM's failure to produce a lateral motion request when necessary could lead to a direct collision, causing significant harm to the unprotected road user.
63;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Ego vehicle is driving in a multi-lane one-way street with adjacent parking lanes and dotted line markings, a heavy object falls from a truck in front""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the heavy object""";S2; The CAEM failing to produce a lateral motion request when necessary to avoid a collision with a heavy object could result in severe and life-threatening injuries, especially if the impact speed is high. This is because the failure to produce a lateral motion request means the vehicle would not be able to avoid the collision, leading to a direct impact. The severity could be even higher if the heavy object is a stationary object like a tree or another vehicle, as the impact could lead to passenger compartment deformation. Furthermore, if there are unprotected road users such as pedestrians or cyclists nearby, they could also be severely injured.
64;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Transiting an underpass on a wet multi-lane curved road with low friction, a pedestrian suddenly crosses""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide with the pedestrian""";S2; The severity of this hazardous event is classified as S2, as the CAEM's failure to produce a lateral motion request resulted in a collision with a pedestrian. Given the nature of the accident, severe and life-threatening injuries are probable, especially considering the vulnerability of the pedestrian involved. The impact speed, a crucial factor in determining the severity, is assumed to be low as per the scenario. This aligns with the examples provided for an S2 classification, such as a pedestrian/bicycle accident with low speed.
65;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Transiting an underpass on a wet multi-lane curved road with low friction, a car in the next lane suddenly swerves into the ego vehicle's lane""";"""CAEM fails to produce a lateral motion request causing a collision with the swerving car""";S2; The hazardous event involves a collision with a swerving car due to failure of CAEM to produce a lateral motion request. Given the unpredictability of the swerving car's motion and the potential high impact speed, severe and life-threatening injuries are probable for the driver or passengers of both vehicles. However, survival is still likely due to the potential for safety measures such as airbags and seatbelts.
66;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Transiting an underpass on a wet multi-lane curved road with low friction, a truck ahead suddenly stops""";"""CAEM fails to produce a lateral motion request causing a rear-end collision with the truck""";S2; The severity of the accident is predicted as S2 as the CAEM's failure to produce a lateral motion request has led to a rear-end collision with a truck. Given the nature of the accident, it is likely to cause severe and life-threatening injuries, especially to the driver and any passengers of the ego vehicle. The impact speed, determined by the maximum allowed speed of the vehicles and the scenario, is a significant factor in this prediction.
67;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Transiting an underpass on a wet multi-lane curved road with low friction, a cyclist suddenly crosses""";"""CAEM fails to produce a lateral motion request causing a collision with the cyclist""";S2; The severity of the accident is predicted as S2 because the CAEM failing to produce a lateral motion request would likely result in a collision with a cyclist, an unprotected road user. Given the nature of the accident and the vulnerability of the cyclist, severe and life-threatening injuries are probable, but survival is still likely. This prediction is also based on the assumption that the impact speed is low, considering the max allowed speed of the vehicles involved.
68;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Moving through a tunnel in a one-way street with a bike lane and signalized intersections, a cyclist suddenly swerves into the vehicle's lane""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide with the cyclist""";S2; The CAEM failure to produce a lateral motion request causing the vehicle to collide with a cyclist results in severe and life-threatening injuries as per the classification. Given the unprotected nature of the cyclist, the impact speed of the vehicle, and the suddenness of the event, the severity is likely to be high.
69;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Moving through a tunnel in a one-way street with a bike lane and signalized intersections, a pedestrian crosses the road unexpectedly""";"""CAEM fails to produce a lateral motion request causing the vehicle to hit the pedestrian""";S3; The hazardous event involves a failure in the CAEM to produce a lateral motion request, leading to a collision with a pedestrian. Given that pedestrians are unprotected road users, the impact of such a collision, even at low speeds, can result in life-threatening injuries or even fatalities. The severity of the potential harm is therefore classified as S3, indicating the highest level of severity.
70;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Moving through a tunnel in a one-way street with a bike lane and signalized intersections, a car suddenly stops ahead""";"""CAEM fails to produce a lateral motion request causing the vehicle to rear-end the stopped car""";S2;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request causing the vehicle to rear-end the stopped car"" is predicted to be S2, indicating severe and life-threatening injuries (survival probable). This is because the impact speed is likely to be high due to the vehicle's failure to produce a lateral motion request, leading to a rear-end collision with the stopped car. This type of accident can cause severe injuries to the driver or passengers of both vehicles involved. The severity is determined by the person with the highest level of severity, which in this case is likely to be the driver or passenger of the vehicle that was rear-ended."
71;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Moving through a tunnel in a one-way street with a bike lane and signalized intersections, a large truck enters the tunnel from the opposite direction""";"""CAEM fails to produce a lateral motion request causing a head-on collision with the truck""";S3; The hazardous event involves a head-on collision with a truck due to a failure in producing a lateral motion request. Given the nature of the accident, it is likely that the impact speed would be high, especially if the truck was moving at a significant speed. This could lead to passenger compartment deformation, which is a characteristic of severity class S3. Furthermore, the accident involves an ego vehicle and a truck, both of which can have passengers, thus increasing the potential for severe or even fatal injuries.
72;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking, a pedestrian is crossing the road""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the pedestrian""";S2; The severity of the hazardous event is predicted as S2 as it involves a failure of the CAEM to produce a lateral motion request, which is necessary to avoid a collision with a pedestrian. This could lead to severe and life-threatening injuries to the pedestrian, especially considering the impact speed and the fact that pedestrians are unprotected road users. However, survival is probable as the accident scenario does not involve high-speed collisions or passenger compartment deformation.
73;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking, a truck is coming from the opposite direction and is partially on the ego vehicle's lane due to the sharp curve""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the truck""";S2; The severity of the hazardous event is predicted as S2 because the CAEM's failure to produce a lateral motion request when necessary to avoid a collision with a truck could result in a side impact with the truck. This could cause severe and life-threatening injuries to the driver or passengers of the ego vehicle, especially if the impact speed is high due to the maximum allowed speed of the vehicles involved. The severity is not predicted as S3 because there is no mention of medium speed or passenger compartment deformation, which are conditions for this higher severity level.
74;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking, a cyclist is riding downhill on the wrong lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the cyclist""";S2; The severity of the event is predicted as S2 as the CAEM's failure to produce a lateral motion request could lead to a collision with the cyclist. Given the potential impact speed and the vulnerability of the cyclist as an unprotected road user, severe and life-threatening injuries are probable, although survival is likely with immediate medical attention.
75;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a roundabout with a pedestrian crossing the road""";"""CAEM fails to produce a lateral motion request, leading to a collision with the pedestrian""";S3; The severity is predicted as S3 due to the failure of CAEM to produce a lateral motion request, leading to a direct collision with an unprotected road user - a pedestrian. The impact speed, depending on the scenario and maximum allowed speed of the vehicle, could be high, thus increasing the likelihood of life-threatening injuries or even fatality. This is in line with the examples provided for S3 severity class such as pedestrian accidents with medium speed.
76;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a roundabout with a cyclist on the segregated cycle path""";"""CAEM fails to produce a lateral motion request, leading to a collision with the cyclist""";S2; The severity of the potential harm in the event of CAEM failing to produce a lateral motion request, leading to a collision with a cyclist, is predicted to be S2. This is due to the involvement of an unprotected road user, the cyclist, and the potential for severe and life-threatening injuries given the nature of the hazardous event. The impact speed, which is a critical factor in determining the severity, is assumed to be low to medium based on the typical speed range of both cyclists and vehicles in urban settings.
77;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a roundabout with a car coming from the opposite direction""";"""CAEM fails to produce a lateral motion request, leading to a head-on collision with the car""";S3;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request, leading to a head-on collision with the car"" is predicted as S3. This is because a head-on collision, especially if at a high speed, can lead to life-threatening injuries or even fatal injuries. The impact speed in this scenario is likely to be high due to the failure of the CAEM to produce a lateral motion request, which would have otherwise helped to avoid or minimize the collision. The severity is therefore assigned to S3, which represents life-threatening injuries with survival uncertain, or fatal injuries."
78;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a roundabout with a truck entering the roundabout""";"""CAEM fails to produce a lateral motion request, leading to a collision with the truck""";S3; The severity of the hazardous event where the CAEM fails to produce a lateral motion request, leading to a collision with the truck, is predicted as S3. This is due to the high potential for life-threatening injuries (survival uncertain) or fatal injuries. The impact speed, given the failure of lateral motion request and the involvement of a large vehicle like a truck, is likely to be high. The individuals involved could be the driver or passengers of the ego vehicle and the driver of the truck. Given the size and weight of the truck, the collision could lead to passenger compartment deformation, which is an example of an S3 severity event.
79;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a roundabout with a broken-down vehicle in the lane""";"""CAEM fails to produce a lateral motion request, leading to a collision with the broken-down vehicle""";S2; The CAEM failure to produce a lateral motion request leading to a collision with a broken-down vehicle could result in severe and life-threatening injuries, especially if the impact speed is high. This is because the collision could involve the driver or passengers of the ego vehicle, or even unprotected road users if they are near the broken-down vehicle. The severity is predicted as S2, as the collision could be similar to a rear/front collision with another passenger car at low speed, which is an example given for S2 severity.
80;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a roundabout with a bus exiting the roundabout""";"""CAEM fails to produce a lateral motion request, leading to a collision with the bus""";S2;The severity is predicted as S2 considering that the CAEM's failure to produce a lateral motion request could lead to a collision with a bus. This scenario involves unprotected road users such as pedestrians and passengers in the bus and the ego vehicle. The impact speed is predicted to be low to medium, considering the max allowed speed of the vehicles involved. Therefore, severe and life-threatening injuries are probable, but survival is also probable.
81;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight road with a bus lane, encountering a stopped bus and pedestrian crossing the road""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the pedestrian""";S2; The severity is predicted as S2 because the CAEM's failure to produce a lateral motion request when necessary could lead to a collision with a pedestrian at a potentially low speed, which could result in severe and life-threatening injuries, although survival is probable. This scenario is comparable to the examples provided for S2 severity class, such as a pedestrian/bicycle accident with low speed.
82;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight road with a bus lane, encountering a signalized intersection with a car making a left turn""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the turning car""";S2;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the turning car"" is predicted as S2. This is because the failure to produce a lateral motion request could lead to a side impact with the turning car, which could result in severe and life-threatening injuries. The impact speed would be dependent on the speed of both vehicles, but given the scenario, it is likely that the speed could be relatively low, hence the S2 severity classification."
83;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight road with a bus lane, encountering a signalized intersection and pedestrian sidewalks with a fallen tree""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the fallen tree""";S2;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the fallen tree"" is predicted to be S2, indicating severe and life-threatening injuries (survival probable). This is due to the fact that the impact of the collision could be significant, given that the vehicle may be moving at a high speed and the CAEM system failed to avoid the obstacle. This could result in a scenario similar to the example given for S2, where a passenger car crashes into a tree with low speed. However, the severity could be higher if the vehicle was moving at a higher speed or if there were multiple passengers in the vehicle."
84;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight road with a bus lane, encountering a signalized intersection with a truck crossing the intersection""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the truck""";S2; The severity of the hazardous event is classified as S2 because the failure of CAEM to produce a lateral motion request when necessary could result in a collision with the truck. This could lead to severe and life-threatening injuries, especially if the truck is moving at a high speed. The impact speed is a significant factor in this scenario, as a higher speed would result in a higher level of severity. However, survival is probable because the accident does not involve a direct front collision or passenger compartment deformation.
85;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight road with a bus lane, encountering a signalized intersection and pedestrian sidewalks with a motorbike coming from the opposite direction""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the motorbike""";S2; The severity of the hazardous event is predicted as S2 because the CAEM's failure to produce a lateral motion request when necessary could lead to a collision with the motorbike. Given the vulnerability of the motorbike rider as an unprotected road user, the impact could result in severe and life-threatening injuries, although survival is probable. This prediction is based on the assumption that the impact speed would be low to medium, considering the usual speed limits for urban roads where such scenarios are more likely to occur.
86;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A pedestrian suddenly crossing the road from the emergency lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the pedestrian""";S2;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the pedestrian"" is predicted as S2, indicating severe and life-threatening injuries with survival probable. This is based on the assumption that the impact speed would be low due to the system's failure to avoid the pedestrian, similar to a pedestrian/bicycle accident with low speed. The severity is not classified as S3 as the impact is not at medium speed which could lead to fatal injuries."
87;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A broken-down vehicle in the same lane as the ego vehicle""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the broken-down vehicle""";S2;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the broken-down vehicle"" is predicted as S2, indicating severe and life-threatening injuries (survival probable). This is based on the assumption that the failure of CAEM to produce a lateral motion request could lead to a front collision with the broken-down vehicle. Depending on the impact speed, which is influenced by the scenario and the maximum allowed speed of the vehicles, the accident could result in severe injuries to the driver or passengers of the ego vehicle. However, survival is probable given the nature of the accident and the absence of passenger compartment deformation."
88;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A truck overtaking the ego vehicle from the right lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the truck""";S2;The CAEM failing to produce a lateral motion request to avoid a collision with a truck implies a high-speed collision could occur, potentially involving the driver or passengers of the ego vehicle and the truck. Given the size and weight of a truck, even at moderate speeds, the impact could lead to severe and life-threatening injuries, hence the severity is classified as S2.
89;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A bicycle rider suddenly enters the road from the sidewalk""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the bicycle rider""";S2; The severity of the event is classified as S2 because the CAEM's failure to produce a lateral motion request could lead to a collision with a bicycle rider. Given the vulnerability of the cyclist and the potential for a collision at speed, this could result in severe and life-threatening injuries, although survival is probable. This is based on the assumption that the impact speed is low, as the system failed to execute an evasive maneuver.
90;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A car coming in the opposite direction crosses the median and enters the ego vehicle's lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the car""";S2; The CAEM's failure to produce a lateral motion request when necessary to avoid a collision with the car could result in a side impact with the car, which is likely to cause severe and life-threatening injuries, especially if the impact speed is high. This is because there might not be enough time or space for the driver or passengers to react and avoid the collision, and the safety features of the vehicle may not be able to fully absorb the impact.
91;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Traversing a gentle curve on a single-lane uphill road with an adjacent parking lane, a pedestrian suddenly steps onto the road from the parking lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the pedestrian""";S2;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the pedestrian"" is predicted as S2, indicating severe and life-threatening injuries (survival probable). This is based on the assumption that the failure of CAEM to produce a lateral motion could lead to a collision with a pedestrian at a potentially high impact speed, which is a scenario comparable to a pedestrian/bicycle accident with low speed, an example given for S2 severity class. The severity could be less if the pedestrian manages to avoid the collision or more severe if the impact speed is high, but without additional information, S2 seems the most appropriate prediction."
92;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Traversing a gentle curve on a single-lane uphill road with an adjacent parking lane, a car parked in the parking lane suddenly pulls out into the road""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the car""";S2; The severity is predicted as S2 because the CAEM's failure to produce a lateral motion request to avoid a collision with the car could result in a side impact with the other vehicle. Depending on the speed of the vehicles involved, this could lead to severe and life-threatening injuries, especially if the impact is to the passenger cell. The severity could be less if the impact speed is low, but given the unpredictability of such situations, it's safer to predict a higher severity.
93;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Traversing a gentle curve on a single-lane uphill road with an adjacent parking lane, a large truck coming downhill in the opposite direction loses control and veers into the ego vehicle's lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the truck""";S2; The severity of this hazardous event is classified as S2 because the CAEM's failure to produce a lateral motion request when necessary could lead to a collision with the truck. This could result in severe and life-threatening injuries to the driver or passengers of the ego vehicle, as well as to the truck driver. The impact speed, depending on the maximum allowed speed of the vehicles, could increase the severity of the injuries. However, survival is still probable given the nature of the accident.
94;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Traversing a gentle curve on a single-lane uphill road with an adjacent parking lane, a cyclist riding downhill on the road loses control and falls in the path of the ego vehicle""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the cyclist""";S2;"The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the cyclist"" is predicted as S2. This is because, in this scenario, the cyclist is an unprotected road user and the failure of CAEM to produce a lateral motion could result in a collision at a potentially high speed. This could lead to severe and life-threatening injuries for the cyclist, hence the severity is classified as S2."
95;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a wet road, passing a grade-separated intersection, a pedestrian suddenly crosses the road""";"""CAEM fails to produce a lateral motion request, causing a collision with the pedestrian""";S2;The hazardous event involves a collision with a pedestrian due to a failure in the CAEM producing a lateral motion request. Given that pedestrians are unprotected road users, the impact could lead to severe and life-threatening injuries, especially if the impact speed was high. However, survival is probable as the accident does not involve high-speed collisions with stationary objects or other vehicles, which are associated with the highest severity level (S3).
96;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a wet road, passing a grade-separated intersection, a car on the adjacent lane suddenly swerves into the ego vehicle's lane""";"""CAEM fails to produce a lateral motion request, causing a collision with the other vehicle""";S2;The CAEM failure to produce a lateral motion request indicates a potential collision with another vehicle. Given the nature of the failure, it is likely that the impact speed could be low to medium, depending on the scenario and max allowed speed of the vehicles. This could result in severe and life-threatening injuries to the driver or passengers of the ego vehicle and the other vehicle involved. This severity prediction is based on the assumption that the collision could be similar to a front or rear collision with another passenger car at low speed, as described in the S2 severity class. However, the survival is probable.
97;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a wet road, passing a grade-separated intersection, a truck ahead suddenly stops""";"""CAEM fails to produce a lateral motion request, causing a collision with the truck""";S2; The severity of the hazardous event is predicted as S2, as the CAEM's failure to produce a lateral motion request, leading to a collision with a truck, could cause severe and life-threatening injuries. This is based on the high impact speed that can be expected from a collision with a truck and the potential harm to the driver or passengers of the ego vehicle, or to the driver of the truck.
98;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a wet road, passing a grade-separated intersection, a bicycle suddenly crosses the road""";"""CAEM fails to produce a lateral motion request, causing a collision with the bicycle""";S2; The hazardous event involves a collision with a bicycle, which falls under the category of unprotected road users. Given the nature of the event, where the CAEM fails to produce a lateral motion request, it is likely that the impact speed might be low to moderate. However, considering the vulnerability of the cyclist, the severity of potential harm could be severe and life-threatening, although survival is probable. Hence, the severity value is S2.
99;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a wet road, passing a grade-separated intersection, a heavy object falls from a truck ahead""";"""CAEM fails to produce a lateral motion request, causing a collision with the heavy object""";S2;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request, causing a collision with the heavy object"" is predicted as S2, indicating severe and life-threatening injuries but survival is probable. This is due to the fact that the failure of CAEM to produce a lateral motion request can lead to a high impact collision with a heavy object. The impact speed in this scenario is likely to be high considering the failure of lateral motion which could have otherwise reduced the impact. This high impact speed can cause severe injuries to the driver or passenger(s) of the ego vehicle. However, survival is probable as the collision is with a heavy object and not with a moving vehicle or unprotected road user, reducing the chances of fatal injuries."
100;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a wet road, passing a grade-separated intersection, a car ahead suddenly stops""";"""CAEM fails to produce a lateral motion request, causing a collision with the other vehicle""";S2;The CAEM failure to produce a lateral motion request could result in a collision with another vehicle. Considering the potential impact speed and the fact that the accident involves another vehicle, the severity could be severe and life-threatening but survival is probable. This is because the collision may occur at a lower speed given the failure in lateral motion request, hence not necessarily resulting in passenger compartment deformation, but could still cause significant harm to the passengers of both vehicles.
101;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a wet road, passing a grade-separated intersection, a motorcycle suddenly crosses the road""";"""CAEM fails to produce a lateral motion request, causing a collision with the motorcycle""";S2; The CAEM failure to produce a lateral motion request leading to a collision with a motorcycle could result in severe and life-threatening injuries to the motorcycle rider, especially if the impact speed is high. The severity is predicted as S2 because motorcycles lack the protective structure of a car, making the rider more vulnerable to severe injuries.
102;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a wet road, passing a grade-separated intersection, a bus on the adjacent lane suddenly swerves into the ego vehicle's lane""";"""CAEM fails to produce a lateral motion request, causing a collision with the bus""";S2;"The severity of the hazardous event where ""CAEM fails to produce a lateral motion request, causing a collision with the bus"" is predicted to be S2. This is because the impact speed is likely to be low given that the CAEM was unable to produce a lateral motion request, indicating a possible failure in the vehicle's control system, and thus a sudden collision with the bus. The individuals involved could be the driver and passengers of the ego vehicle and the bus. The severity is high due to the potential for severe and life-threatening injuries, especially if the bus was moving at a higher speed or if there were many passengers on board. However, survival is probable given the low impact speed and the size and safety features of the bus."
103;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: Navigating a downhill road with a pedestrian crossing, a pedestrian suddenly appears from the tunnel""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the pedestrian""";S2; The severity of the hazardous event where CAEM fails to produce a lateral motion request, leading to a potential collision with a pedestrian, is predicted as S2. This is because, in this scenario, the pedestrian is an unprotected road user who could suffer severe and life-threatening injuries due to the potential collision, especially if the impact speed is high. However, survival is probable considering emergency response and medical intervention.
104;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: Navigating a downhill road with a pedestrian crossing, a car appears from the tunnel going in the opposite direction""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential head-on collision with the car""";S3; The CAEM's failure to produce a lateral motion request could lead to a head-on collision with another car, which is a potentially fatal event. This is due to the fact that head-on collisions often result in severe injuries or fatalities, especially at high speeds. Therefore, the severity is classified as S3, indicating life-threatening injuries with survival uncertain.
105;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: Navigating a downhill road with a pedestrian crossing, a truck suddenly exits a construction site near the tunnel""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the truck""";S2; The CAEM's failure to produce a lateral motion request could lead to a collision with the truck, potentially causing severe and life-threatening injuries to the driver or passengers in both vehicles. The impact speed, which is a crucial factor in predicting severity, may be high given that the CAEM did not produce a motion request. Unprotected road users, such as pedestrians or cyclists, could also be at risk if the vehicles swerve or lose control. The severity is therefore predicted as S2, considering the potential for severe injuries but with survival probable.
106;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: Navigating a downhill road with a pedestrian crossing, a cyclist suddenly appears from the tunnel""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the cyclist""";S2; The hazardous event involves a potential collision with a cyclist due to a failure in producing a lateral motion request. This could lead to severe and life-threatening injuries to the cyclist, given the vulnerability of cyclists in accidents. The impact speed could be significant depending on the scenario and the max allowed speed of the vehicles, which further supports the prediction of a high severity level.
107;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a T-intersection with yield signs, a car from the opposite direction is turning left""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the turning car""";S2;" The severity of the hazardous event, where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the turning car"", is predicted as S2. This is because the failure of the CAEM to produce a lateral motion request could lead to a side impact with the turning car at a potentially low to medium speed. This could result in severe and life-threatening injuries to the driver or passengers of both the ego vehicle and the turning car, as well as any unprotected road users nearby. The impact speed, which is a major factor in predicting severity, is likely to be relatively high due to the turning car's movement and the ego vehicle's inability to avoid the collision."
108;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a T-intersection with yield signs, a pedestrian is crossing the road""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the pedestrian""";S2; The CAEM's failure to produce a lateral motion request necessary to avoid a collision with a pedestrian could result in severe and life-threatening injuries to the pedestrian, especially if the vehicle is moving at a high speed. This is because pedestrians are unprotected road users and the impact of a vehicle could cause significant harm.
109;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a T-intersection with yield signs, a cyclist is moving in the integrated cycle path""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the cyclist""";S2;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the cyclist"" is predicted as S2, indicating severe and life-threatening injuries (survival probable). This is because the failure of the CAEM to produce a lateral motion request could result in a direct collision with the cyclist, an unprotected road user. The impact speed, depending on the scenario and the max allowed speed of the vehicles, could be high, further increasing the severity of potential injuries. However, as the cyclist is an unprotected road user, even a low-speed impact could result in severe injuries."
110;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a T-intersection with yield signs, a truck is stopped due to a temporary obstruction""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the stopped truck""";S2; The CAEM's failure to produce a lateral motion request to avoid a collision with a stopped truck suggests that the ego vehicle is likely to collide with the truck at a potentially moderate to high speed. Given that the truck is a large, stationary object, the impact could lead to severe and life-threatening injuries for the driver or passengers in the ego vehicle, especially if safety measures like airbags fail to deploy or seatbelts are not in use. The severity is not classified as S3 because the survival probability is not uncertain, considering that the truck is stopped and the ego vehicle has some time to react, even if the CAEM fails.
111;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a T-intersection with yield signs, a broken-down vehicle is in the same lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the broken-down vehicle""";S2; The severity of this hazardous event is predicted as S2 because the CAEM's failure to produce a lateral motion request when necessary could result in a low-speed collision with the broken-down vehicle. The impact speed is expected to be low as the ego vehicle would likely be moving at a reduced speed due to the presence of a broken-down vehicle. However, the collision could still result in severe and life-threatening injuries to the driver or passengers of the ego vehicle, as well as any unprotected road users nearby, such as pedestrians or cyclists.
