id;guideword;hazard;detailed_scenario;hazardous_event;severity;severity_rationale
68;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with signalized pedestrian crosswalks on a multi-lane street and a truck is coming from the right""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the truck""";S3; The hazardous event involves a CAEM induced lateral motion causing the vehicle to swerve into a truck. This could potentially result in a side impact with a large moving object (the truck), which could lead to passenger compartment deformation. Given the size and mass of the truck, the impact speed could be substantial, even if the ego vehicle was initially moving at a moderate speed. This scenario could result in life-threatening injuries (survival uncertain) or fatal injuries, thus severity is classified as S3.
69;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with signalized pedestrian crosswalks on a multi-lane street and there is a fallen tree on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the tree""";S3; The hazardous event involves a CAEM-induced lateral motion request, causing the vehicle to swerve into a tree. This scenario is similar to the example provided for S3 severity class, where a side impact with a narrow stationary object, such as a tree, is involved. The impact speed could be high due to the sudden swerve, leading to the potential for life-threatening injuries or even fatal injuries, especially if the passenger compartment undergoes deformation.
70;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with signalized pedestrian crosswalks on a multi-lane street and there is a traffic cone on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve into a car in the next lane""";S2; The hazardous event involves a lateral motion request by the CAEM causing the vehicle to swerve into a car in the next lane. This could potentially involve the driver and passengers of both vehicles. Given the sudden swerve, the impact speed could be significant, leading to severe and life-threatening injuries, especially if safety measures like seatbelts are not in place. However, survival is probable considering modern vehicle safety features and immediate medical attention.
71;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Intersection with stop signs, another vehicle approaching from the right""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the path of the other vehicle""";S2; The hazardous event involves a lateral motion request causing the vehicle to swerve into the path of another vehicle. Given the potential for a side impact collision at speed, the severity is predicted to be S2, indicating severe and life-threatening injuries. This is due to the fact that side impact collisions can cause significant harm to unprotected road users and vehicle occupants, especially if the impact speed is high.
72;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Intersection with stop signs, a truck approaching from the left""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the path of the truck""";S3; The severity of the hazardous event is predicted as S3 due to the high potential for life-threatening injuries or fatal injuries. The CAEM's lateral motion request causing the vehicle to swerve into the path of the truck could lead to a side impact with the truck, which is a large stationary object. This could cause a high level of harm to the driver or passengers of the vehicle, especially if the impact speed is high. The severity is therefore determined by the person with the highest level of severity, which in this case would likely be the driver or passengers of the vehicle.
73;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving in a multi-lane one-way street with adjacent parking lanes and dotted line markings, a bicycle is riding in the same direction in the bike lane""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the bicycle when there is no hazardous collision object""";S2; The severity of the hazardous event is predicted as S2 as it involves a bicycle accident with a vehicle, which is likely to cause severe and life-threatening injuries, given the unprotected nature of the cyclist and the potential impact speed of the vehicle caused by the lateral motion request.
74;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving in a multi-lane one-way street with adjacent parking lanes and dotted line markings, a motorbike is coming from the opposite direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the motorbike when there is no hazardous collision object""";S2; The severity of the hazardous event is predicted as S2 due to the fact that the CAEM's lateral motion request causing the vehicle to swerve into a motorbike could lead to severe and life-threatening injuries for the motorbike rider. The impact speed, depending on the scenario, could be high given the sudden swerve of the vehicle, thus increasing the severity of potential harm. The motorbike rider, being an unprotected road user, is at a higher risk of severe injuries.
75;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transiting an underpass on a wet multi-lane curved road with low friction, a heavy object falls from a truck ahead""";"""CAEM produces a lateral motion request causing the ego vehicle to swerve into the next lane""";S2; The hazardous event involves a lateral motion request by CAEM causing the ego vehicle to swerve into the next lane. This could potentially lead to a side impact with a vehicle in the next lane or a stationary object, such as a tree or a roadside infrastructure, at a low speed. The severity is predicted as S2, considering the unprotected road users like pedestrians or cyclists could be involved, and the impact speed could be significant depending on the max allowed speed of the vehicles. The severity is thus severe and life-threatening injuries (survival probable).
76;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transiting an underpass on a wet multi-lane curved road with low friction, a cyclist suddenly swerves into the road from the sidewalk""";"""CAEM produces a lateral motion request causing the ego vehicle to swerve into the next lane""";S2; The hazardous event involves a lateral motion request by CAEM causing the ego vehicle to swerve into the next lane. This sudden swerve could potentially lead to a collision with another vehicle or unprotected road user in the next lane, causing severe and life-threatening injuries. The impact speed would be determined by the speed of the ego vehicle at the time of the swerve and the speed of the vehicle or individual in the next lane. Given the unpredictability of the situation and the potential for high-speed impact, the severity is predicted to be S2.
77;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with cyclist in bike lane"; Hazardous Event: CAEM produces unnecessary lateral motion causing collision with tunnel wall;S2; The hazardous event involves a collision with a tunnel wall due to unnecessary lateral motion produced by CAEM. This could lead to severe and life-threatening injuries, especially considering the confined space of a tunnel and the potential for high impact speed. The severity is predicted based on the fact that the collision could directly impact the passenger compartment, similar to the example of a passenger car crashing into a tree with low speed. The severity could be higher if the vehicle was moving at a high speed or if there were unprotected road users such as pedestrians or cyclists involved. However, in the absence of such information, the severity is predicted to be S2.
78;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with pedestrian crossing at signalized intersection"; Hazardous Event: CAEM produces unnecessary lateral motion causing collision with pedestrian;S2; The hazardous event involves a collision with a pedestrian due to unnecessary lateral motion produced by CAEM. Given that pedestrians are unprotected road users, even a low-speed impact can result in severe and life-threatening injuries. The severity is predicted as S2, assuming survival is probable but the injuries could be severe, as per the defined severity classes.
79;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with oncoming vehicle in one-way street"; Hazardous Event: CAEM produces unnecessary lateral motion causing head-on collision;S3; The hazardous event involves a head-on collision, which is likely to cause severe damage due to the high impact speed. This can lead to life-threatening injuries (survival uncertain), or even fatal injuries, especially for the unprotected road users and the driver or passengers of the ego vehicle. The severity is therefore classified as S3.
80;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with debris in road"; Hazardous Event: CAEM produces unnecessary lateral motion causing collision with tunnel wall;S2; The hazardous event involves a collision with a tunnel wall due to unnecessary lateral motion produced by CAEM. This could result in severe and life-threatening injuries, especially if the impact speed was high. The severity is predicted as S2 because the collision with a stationary object like a tunnel wall could cause significant harm to the driver and any passengers in the vehicle. In addition, the confined space of a tunnel could exacerbate the severity of the injuries, as there is limited room for the vehicle to move or for occupants to escape.
81;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with bus in one-way street"; Hazardous Event: CAEM produces unnecessary lateral motion causing collision with bus;S2; The hazardous event involves a collision with a bus, which suggests a high impact speed and a large vehicle involved. Considering the unnecessary lateral motion produced by CAEM, it is likely that unprotected road users such as pedestrians and cyclists, as well as passengers in the bus and the ego vehicle, are involved. The severity is therefore predicted as S2, indicating severe and life-threatening injuries, as the collision could result in significant harm due to the size of the bus and the potential for multiple individuals to be involved.
82;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with truck exiting at signalized intersection"; Hazardous Event: CAEM produces unnecessary lateral motion causing collision with truck;S2; The hazardous event involves a collision with a truck which could result in severe and life-threatening injuries, especially if the impact speed is high. The unnecessary lateral motion could lead to a side impact which, depending on the speed and size of the truck, could cause significant harm to the driver or passengers of the ego vehicle.
83;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with no other road users or objects"; Hazardous Event: CAEM produces unnecessary lateral motion causing collision with tunnel wall;S2; The hazardous event involves a collision with a tunnel wall due to unnecessary lateral motion by CAEM, which could lead to severe and life-threatening injuries especially if the impact speed is high. The severity is predicted as S2 because the collision with a tunnel wall can be compared to a side impact with a narrow stationary object, and the confined space of a tunnel may amplify the impact, potentially causing severe harm to the driver or passengers.
84;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking and a pedestrian is crossing the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the pedestrian""";S3; The hazardous event involves a vehicle swerving towards a pedestrian, which is an unprotected road user. Given the sudden lateral motion request produced by CAEM, the impact speed could be high. This scenario may result in life-threatening injuries (survival uncertain) or fatal injuries to the pedestrian, hence the severity is predicted as S3.
85;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking and a heavy vehicle is coming from the opposite direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the heavy vehicle""";S2; The hazardous event involves a lateral motion request causing the vehicle to swerve towards a heavy vehicle. Given the potential for a side impact with a large stationary object (the heavy vehicle), there is a high probability of severe and life-threatening injuries. The severity is predicted based on the assumption that the impact speed is high due to the sudden swerve, and the involved parties could include the driver and passengers of the ego vehicle and potentially the driver of the heavy vehicle.
86;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking and a broken-down vehicle is on the lane""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the broken-down vehicle""";S2; The hazardous event involves a lateral motion request causing the vehicle to swerve towards a broken-down vehicle, which could result in a side impact with a stationary object (the broken-down vehicle). Given the potential for a high impact speed, this could lead to severe and life-threatening injuries for the driver or passenger(s) of the ego vehicle, or any unprotected road users nearby. However, survival is probable due to the nature of the impact and the likelihood of safety measures in the ego vehicle.
87;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking and a bicycle is on the side of the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the bicycle""";S2; The hazardous event involves a vehicle swerving towards a bicycle, which could result in severe and life-threatening injuries to the cyclist, especially if the impact speed is high. The severity is predicted as S2 because, although the injuries could be severe, survival is probable given immediate medical attention.
88;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking and a large rock is on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the rock""";S2; The hazardous event involves a lateral motion request causing the vehicle to swerve towards a rock, which could result in a side impact with a stationary object. Given the potential for severe and life-threatening injuries based on the severity classes, the severity is predicted as S2. The impact speed, while not explicitly stated, is assumed to be low to medium based on the description of the event. This could result in severe injuries to the driver or passengers of the vehicle, particularly if safety measures such as seatbelts are not in use. The severity could be higher if unprotected road users such as pedestrians or cyclists are nearby and involved in the accident. However, without additional information about the presence of such individuals, the maximum predicted severity remains S2.
89;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a roundabout with a cyclist crossing the segregated cycle path""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the adjacent lane where there is oncoming traffic""";S3; The hazardous event involves a CAEM-induced lateral motion that causes the vehicle to swerve into an adjacent lane with oncoming traffic. This scenario has a high potential for a head-on collision with an oncoming vehicle at medium to high speed, which could result in life-threatening injuries or fatalities to the driver and passengers of both vehicles involved. The severity level is therefore classified as S3 due to the high risk of passenger compartment deformation and the uncertain survival probability.
90;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a roundabout with a pedestrian crossing at the signalized pedestrian crossing""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the adjacent lane where there is a stationary vehicle""";S2;The CAEM's lateral motion request causing the vehicle to swerve into the adjacent lane where there is a stationary vehicle could result in severe and life-threatening injuries, especially if the swerving vehicle is moving at a significant speed. The stationary vehicle's occupants, as well as the driver and passengers of the swerving vehicle, are at risk. The severity is predicted based on the potential for a side impact with a stationary object, similar to a passenger car crashing into a tree with low speed.
91;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a roundabout with a truck entering the roundabout from the opposite direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the path of the truck""";S3; The severity of the hazardous event is predicted to be S3 due to the high potential for life-threatening injuries or fatalities. The CAEM's lateral motion request causing the vehicle to swerve into the path of a truck implies a high impact speed collision, which could result in severe damage to the passenger compartment of the vehicle. The severity is further heightened by the involvement of a large vehicle such as a truck, which could cause catastrophic damage upon collision. This scenario involves the driver and potentially passengers of the vehicle, and the driver of the truck, all of whom are at risk of severe harm.
92;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a roundabout with a motorcycle exiting the roundabout onto the same road""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the path of the motorcycle""";S2; The severity of the accident is predicted as S2, as the CAEM's lateral motion request causing the vehicle to swerve into the path of the motorcycle could lead to severe and life-threatening injuries to the motorcycle rider. This is based on the impact speed, which is likely to be high given the sudden swerve of the vehicle, and the vulnerability of the motorcycle rider as an unprotected road user.
93;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a straight road with a bus lane, encountering a pedestrian crossing the road from sidewalk""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the bus lane, potentially causing a collision with a bus""";S2; The severity of the hazardous event is predicted as S2 because the CAEM's lateral motion request causing the vehicle to swerve into the bus lane has the potential to cause a collision with a bus. This could result in severe and life-threatening injuries to the passengers and driver of the vehicle, as well as the bus passengers and driver, especially if the bus is moving at a high speed. The impact speed is predicted to be high due to the sudden swerving of the vehicle into the bus lane, increasing the likelihood of severe injuries.
94;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a straight road with a bus lane, encountering a signalized intersection with a green light and a stopped vehicle in front""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the bus lane, potentially causing a collision with a bus""";S2; The hazardous event involves a potential collision with a bus due to a lateral motion request by CAEM. This could lead to severe and life-threatening injuries for the driver or passengers of the vehicle and the bus, especially if the impact speed is high due to the maximum allowed speed of the vehicles involved. The severity is not classified as S3 because survival is probable given the nature of the accident.
95;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a straight road with a bus lane, encountering a signalized intersection with a red light""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the bus lane, potentially causing a collision with a bus""";S3; The severity of the potential harm in this hazardous event is predicted as S3, indicating life-threatening injuries (survival uncertain), fatal injuries. This is due to the fact that CAEM's lateral motion request causing the vehicle to swerve into the bus lane could potentially lead to a collision with a bus. Given the size and weight of a bus, such a collision could result in significant harm to the driver and passengers of the ego vehicle, as well as potential harm to the bus driver and passengers. The impact speed could be high considering the bus lane is typically alongside the main road where vehicles travel at higher speeds. This, combined with the potential number of individuals involved, justifies the highest level of severity.
96;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a straight road with a bus lane, encountering a signalized intersection and a cyclist on the pedestrian sidewalk""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the bus lane, potentially causing a collision with a bus""";S2; The severity of the hazardous event is predicted as S2 because the CAEM's lateral motion request causing the vehicle to swerve into the bus lane could potentially cause a collision with a bus. This can result in severe and life-threatening injuries to the passengers in both the swerving vehicle and the bus, especially considering the high impact speed that can occur from a collision with a large vehicle like a bus. However, survival is probable due to the safety measures present in both vehicles.
97;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a straight road with a bus lane, encountering a signalized intersection and a pedestrian crossing the road from sidewalk during a green light""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the bus lane, potentially causing a collision with a pedestrian""";S2; The severity of this hazardous event is predicted as S2, indicating severe and life-threatening injuries, survival probable. The rationale for this classification is based on the potential collision with a pedestrian due to the vehicle's lateral motion into the bus lane. Given the unpredictable nature of pedestrian movements and the potential high impact speed, the accident could result in severe injuries. However, survival is probable as the accident involves a single pedestrian and immediate medical attention could potentially mitigate the severity of the injuries.
98;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Traversing a gentle curve on a single-lane uphill road with an adjacent parking lane and a parked car suddenly pulls out""";"""CAEM produces a lateral motion request causing the vehicle to swerve into oncoming traffic when there is no hazardous collision object in the vicinity""";S3; The severity of the hazardous event is predicted as S3 due to the high potential for life-threatening injuries or fatalities. This is because the CAEM's lateral motion request causes the vehicle to swerve into oncoming traffic, which could result in a front collision with another vehicle at medium or high speed, leading to passenger compartment deformation. This situation is even more critical if the oncoming vehicle is moving at a high speed, as the combined impact speed would be significantly high. The severity is also based on the potential harm to all involved parties, including the driver and passengers of the ego vehicle, and the driver and passengers of the oncoming vehicle.
99;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Traversing a gentle curve on a single-lane uphill road with an adjacent parking lane and a cyclist riding uphill""";"""CAEM produces a lateral motion request causing the vehicle to swerve and hit the cyclist when there is no hazardous collision object in the vicinity""";S2; The severity of the hazardous event is predicted as S2 because the accident involves a cyclist, an unprotected road user, who was hit due to a lateral motion of the vehicle. This suggests a potential for severe and life-threatening injuries considering the vulnerability of the cyclist, even though there was no hazardous collision object in the vicinity. The impact speed is not specified but assuming a moderate speed, the severity could escalate to S2.
100;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a multi-lane wet road with low friction, passing through a grade-separated intersection using an overpass with a pedestrian crossing the road""";"""CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity, causing the vehicle to swerve unnecessarily and potentially lose control due to the wet road conditions""";S2; The hazardous event involves a vehicle swerving unnecessarily and potentially losing control due to wet road conditions, which could result in severe and life-threatening injuries especially if it leads to a collision with a stationary object or another vehicle. The severity prediction is based on the potential impact speed during loss of control and the fact that the event involves an ego vehicle, which could have passengers.
101;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a multi-lane wet road with low friction, passing through a grade-separated intersection using an overpass with a broken-down vehicle in the adjacent lane""";"""CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity, causing the vehicle to swerve into the adjacent lane and potentially collide with the broken-down vehicle""";S2; The severity is predicted as S2 because the CAEM's erroneous lateral motion request could lead to a collision with a broken-down vehicle in the adjacent lane. This could result in severe and life-threatening injuries, especially if the impact speed is high, considering the unpredictability of the event and the potential for a direct impact to the passenger cell.
102;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving on a multi-lane wet road with low friction, passing through a grade-separated intersection using an overpass with a truck approaching from the opposite direction""";"""CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity, causing the vehicle to swerve into the opposite lane and potentially collide head-on with the truck""";S3;The hazardous event involves a potential head-on collision with a truck due to the vehicle's swerving into the opposite lane, which is a high-risk scenario. Given the size and weight of the truck, the impact speed could be high, resulting in severe damage to the passenger compartment of the vehicle and life-threatening injuries to the driver and any passengers, thus falling into the S3 severity class.
103;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Navigating a single-lane downhill road that transitions into a tunnel with a marked pedestrian crossing. A pedestrian is crossing the road from left to right""";"""Hazardous Event: CAEM produces a right lateral motion request when there is no hazardous collision object in the vicinity, causing the vehicle to veer towards the pedestrian""";S2; The hazardous event involves a vehicle veering towards a pedestrian due to an unexpected right lateral motion request, which could lead to a collision. Given the potential for a pedestrian-vehicle accident, the severity is predicted as S2, indicating severe and life-threatening injuries. However, the absence of a hazardous collision object in the vicinity and the potential for the pedestrian to avoid the vehicle may prevent a more severe outcome. The impact speed cannot be accurately predicted without information on the vehicle's speed at the time of the event, but the scenario suggests a possible low-speed impact.
104;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Navigating a single-lane downhill road that transitions into a tunnel with a marked pedestrian crossing. A motorcycle is overtaking the ego vehicle""";"""Hazardous Event: CAEM produces a right lateral motion request when there is no hazardous collision object in the vicinity, causing the vehicle to veer towards the overtaking motorcycle""";S2; The hazardous event involves a CAEM producing a right lateral motion request when there is no hazardous collision object in the vicinity, causing the vehicle to veer towards the overtaking motorcycle. This event involves an unprotected road user, the motorcyclist, who is at risk of severe and life-threatening injuries due to the sudden and unexpected motion of the vehicle. The severity is predicted as S2 because the impact speed, depending on the scenario and max allowed speed of the vehicles, could be high enough to cause severe harm to the motorcyclist.
105;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with yield signs, a pedestrian is crossing the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the adjacent lane""";S2; The hazardous event involves a lateral motion request causing the vehicle to swerve into the adjacent lane, which could lead to a side impact with another vehicle or a narrow stationary object, such as a tree or a post. This could result in severe and life-threatening injuries, especially if the impact speed is high, placing it in the S2 severity class.
106;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with yield signs, a cyclist is on the integrated cycle path""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the cycle path""";S2; The hazardous event involves CAEM producing a lateral motion request causing the vehicle to swerve into the cycle path. This indicates that the vehicle could potentially hit unprotected road users such as cyclists, leading to severe and life-threatening injuries. The impact speed would be relatively low as the vehicle is swerving rather than directly colliding at high speed, hence the severity is predicted as S2.
107;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with yield signs, a truck is coming from the opposite direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the opposite lane""";S2; The hazardous event described involves a CAEM induced lateral motion that causes the vehicle to swerve into the opposite lane. Given the unpredictability of the opposite lane's traffic, the potential for collision with an oncoming vehicle or unprotected road users like pedestrians and cyclists is high. Considering the impact speed, which is a critical factor in determining the severity, it's reasonable to predict a low to medium speed collision, as the vehicle was not stated to be speeding. Therefore, the severity is predicted as S2, indicating severe and life-threatening injuries (survival probable). This is because the event could lead to a side or front collision with another vehicle or a pedestrian/bicycle accident at a low to medium speed.
108;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with yield signs, a car is in the adjacent lane""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the adjacent lane""";S2; The hazardous event involves a lateral motion request by the CAEM causing the vehicle to swerve into the adjacent lane. This could potentially lead to a side impact with a stationary object or another vehicle, or even a pedestrian/bicycle accident if they are present in the adjacent lane. The impact speed is likely to be low considering the vehicle was initially in its lane before the sudden swerve. Therefore, the severity is predicted to be S2, indicating severe and life-threatening injuries, but survival is probable.
109;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with yield signs, there is a broken-down vehicle in the same lane""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the adjacent lane""";S2; The hazardous event involves a CAEM causing the vehicle to swerve into the adjacent lane which could potentially involve a collision with another vehicle or unprotected road user. Given the lateral motion and potential high speed, there is a high risk of severe and life-threatening injuries, especially if the vehicle collides with another vehicle or unprotected road user such as pedestrians or cyclists. However, survival is probable if immediate medical attention is provided.
110;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with yield signs, a motorcycle is coming from the opposite direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the opposite lane""";S2; The hazardous event involves CAEM producing a lateral motion request causing the vehicle to swerve into the opposite lane. This could potentially involve a collision with an oncoming vehicle or unprotected road users in the opposite lane, leading to severe and life-threatening injuries, especially if the impact speed is high. The severity is therefore predicted as S2, indicating severe and life-threatening injuries with survival probable.
111;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with yield signs, a pedestrian is crossing the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the pedestrian crossing""";S3; The hazardous event involves a vehicle swerving into a pedestrian crossing due to a lateral motion request from the CAEM, which could potentially result in a high-speed impact with unprotected road users such as pedestrians or cyclists. Given the nature of the event and the potential for high impact speed, the severity of harm could be life-threatening or fatal, hence the assignment to the highest severity class, S3.
112;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a straight road to a sharp curve with a pedestrian crossing the road on zebra crossing""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the pedestrian""";S3; The hazardous event involves a vehicle swerving towards a pedestrian, an unprotected road user, due to a lateral motion request by CAEM. Given the potential for a direct collision between the vehicle and the pedestrian, the severity is predicted to be S3, indicating life-threatening injuries with uncertain survival or fatal injuries. This is based on the assumption of medium to high impact speed, considering the sudden swerve, and the vulnerability of the pedestrian.
113;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a straight road to a sharp curve with a car approaching from the opposite direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the opposite lane, risking a head-on collision""";S3;The hazardous event involves a potential head-on collision due to vehicle swerving into the opposite lane, which can cause severe damage and life-threatening injuries to the driver and passengers of both vehicles, as well as to unprotected road users in the vicinity. The impact speed, which is a crucial factor in determining the severity, could be high considering the vehicle may be moving at the maximum allowed speed. This scenario aligns with the examples provided for S3 severity class, such as a front collision with another vehicle with medium speed and passenger compartment deformation.
114;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a straight road to a sharp curve with a stationary truck parked on the side""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the parked truck""";S2; The severity of the hazardous event is predicted as S2, as the CAEM's lateral motion request causing the vehicle to swerve towards the parked truck could lead to a side impact with a stationary object (the truck) at a potentially low speed. This could result in severe and life-threatening injuries for the driver or passengers of the ego vehicle, especially if they are not wearing seat belts or if the impact causes them to be thrown around inside the vehicle. The severity could be higher if there are unprotected road users such as pedestrians or cyclists nearby who could be hit by the swerving vehicle. The impact speed is a critical factor in this prediction and is assumed to be low based on the scenario description. However, the final severity value could change if more information about the actual impact speed and the presence of other road users is provided.
115;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a straight road to a sharp curve with a cyclist moving in the same direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the cyclist""";S2; The hazardous event involves a vehicle swerving towards a cyclist, an unprotected road user. Given the lateral motion request by CAEM, the impact speed is likely to be low to moderate. However, considering the vulnerability of the cyclist, the severity of potential harm could be severe and life-threatening, although survival is probable. This is in line with the severity class S2.
116;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a straight road to a sharp curve with a pedestrian crossing at signalized intersection""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the pedestrian""";S3; The hazardous event involves a pedestrian, an unprotected road user, who is at a higher risk of severe injuries. The vehicle swerving towards the pedestrian implies a potential direct impact which could result in life-threatening injuries (survival uncertain) or fatal injuries, hence the severity is classified as S3. The impact speed, while not explicitly mentioned, can be assumed to be at least medium given the nature of the event, further justifying the S3 severity level.
117;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a straight road to a sharp curve with no other road user but a fallen tree on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the fallen tree""";S2; The hazardous event involves CAEM producing a lateral motion request causing the vehicle to swerve towards a fallen tree. Considering the scenario, the impact speed is likely to be low to medium, as the vehicle is swerving to avoid a collision. However, the sudden swerving motion could potentially cause severe harm to the driver or passengers due to the sudden change in direction and potential impact with the fallen tree. Additionally, if there are unprotected road users nearby, they could also be at risk. Therefore, the severity is predicted as S2, indicating severe and life-threatening injuries, but survival is probable.
